('6677f9697acf35542d8eeb54', 'WRO', 'TZL', 100, '2024-06-25', '04:39:00', 'Air France', '9 hours', 352)
('6677f97b7acf35542d8eeeab', 'NTE', 'TIV', 100, '2024-06-28', '13:56:00', 'Ryanair', '6 hours', 337)
('6677f97b7acf35542d8eeeac', 'NTE', 'AGA', 100, '2024-07-01', '22:59:00', 'Ryanair', '7 hours', 181)
('6677f97b7acf35542d8eeead', 'NTE', 'GSM', 100, '2024-07-02', '01:34:00', 'Lufthansa', '2 hours', 424)
('6677f97b7acf35542d8eeeae', 'NTE', 'BFS', 100, '2024-07-01', '16:10:00', 'Ryanair', '8 hours', 222)
('6677f97b7acf35542d8eeeb0', 'AZS', 'HRB', 100, '2024-06-25', '16:54:00', 'Air France', '6 hours', 238)
('6677f97b7acf35542d8eeeb1', 'AZS', 'CDG', 100, '2024-06-29', '11:04:00', 'Ryanair', '5 hours', 213)
('6677f97b7acf35542d8eeeb5', 'BRU', 'LRU', 100, '2024-06-27', '21:25:00', 'Air France', '2 hours', 323)
('6677f97b7acf35542d8eeeb6', 'BRU', 'NNG', 100, '2024-06-24', '16:36:00', 'Ryanair', '9 hours', 75)
('6677f97b7acf35542d8eeeb7', 'BRU', 'BQT', 100, '2024-06-25', '23:32:00', 'EasyJet', '14 hours', 238)
('6677f97b7acf35542d8eeeb8', 'BRU', 'AXA', 100, '2024-06-27', '17:59:00', 'Ryanair', '1 hours', 45)
('6677f97c7acf35542d8eeeba', 'LOS', 'ONT', 100, '2024-06-26', '09:49:00', 'Air France', '14 hours', 171)
('6677f97c7acf35542d8eeebb', 'LOS', 'AAP', 100, '2024-07-03', '03:20:00', 'EasyJet', '12 hours', 258)
('6677f97c7acf35542d8eeebf', 'XCH', 'SXB', 100, '2024-06-26', '05:19:00', 'Ryanair', '2 hours', 491)
('6677f97c7acf35542d8eeec0', 'XCH', 'MSQ', 100, '2024-06-25', '17:00:00', 'British Airways', '2 hours', 210)
('6677f97c7acf35542d8eeec4', 'PTP', 'SAH', 100, '2024-07-03', '04:53:00', 'Lufthansa', '3 hours', 58)
('6677f97c7acf35542d8eeec5', 'PTP', 'FMM', 100, '2024-06-26', '12:37:00', 'EasyJet', '8 hours', 106)
('6677f97c7acf35542d8eeec9', 'ERZ', 'KIH', 100, '2024-07-02', '13:48:00', 'EasyJet', '14 hours', 253)
('6677f97c7acf35542d8eeece', 'BOH', 'GVA', 100, '2024-06-29', '19:05:00', 'Ryanair', '11 hours', 108)
('6677f97c7acf35542d8eeecf', 'BOH', 'CLO', 100, '2024-07-01', '18:49:00', 'EasyJet', '10 hours', 223)
('6677f97c7acf35542d8eeed0', 'BOH', 'AHO', 100, '2024-07-02', '11:04:00', 'British Airways', '11 hours', 134)
('6677f97c7acf35542d8eeed1', 'BOH', 'CYO', 100, '2024-06-29', '19:30:00', 'EasyJet', '10 hours', 74)
('6677f97c7acf35542d8eeed3', 'YNT', 'SZF', 100, '2024-06-24', '05:42:00', 'Ryanair', '10 hours', 427)
('6677f97c7acf35542d8eeed4', 'YNT', 'MHD', 100, '2024-06-27', '00:45:00', 'Ryanair', '14 hours', 416)
('6677f97c7acf35542d8eeed5', 'YNT', 'CHS', 100, '2024-06-26', '07:13:00', 'Ryanair', '13 hours', 230)
('6677f97c7acf35542d8eeed6', 'YNT', 'TRF', 100, '2024-06-24', '17:50:00', 'Lufthansa', '8 hours', 278)
('6677f97c7acf35542d8eeed8', 'EDI', 'RUH', 100, '2024-07-02', '04:00:00', 'British Airways', '6 hours', 226)
('6677f97c7acf35542d8eeed9', 'EDI', 'AUS', 100, '2024-06-30', '02:35:00', 'EasyJet', '13 hours', 360)
('6677f97c7acf35542d8eeeda', 'EDI', 'HIK', 100, '2024-06-29', '02:31:00', 'British Airways', '10 hours', 350)
('6677f97c7acf35542d8eeedb', 'EDI', 'FAE', 100, '2024-06-28', '05:50:00', 'Ryanair', '1 hours', 188)
('6677f97c7acf35542d8eeedd', 'OSL', 'STI', 100, '2024-06-28', '21:17:00', 'Air France', '6 hours', 411)
('6677f97c7acf35542d8eeede', 'OSL', 'SEA', 100, '2024-06-26', '00:17:00', 'EasyJet', '11 hours', 433)
('6677f97c7acf35542d8eeedf', 'OSL', 'HAJ', 100, '2024-07-03', '06:49:00', 'Air France', '4 hours', 456)
('6677f97c7acf35542d8eeee0', 'OSL', 'REU', 100, '2024-06-24', '22:42:00', 'Ryanair', '9 hours', 202)
('6677f97d7acf35542d8eeee2', 'NIM', 'LEI', 100, '2024-07-03', '20:42:00', 'British Airways', '4 hours', 381)
('6677f97d7acf35542d8eeee3', 'NIM', 'GSM', 100, '2024-07-01', '22:01:00', 'Ryanair', '11 hours', 419)
('6677f97d7acf35542d8eeee4', 'NIM', 'SWA', 100, '2024-07-02', '16:51:00', 'Lufthansa', '7 hours', 235)
('6677f97d7acf35542d8eeee7', 'YQB', 'TLV', 100, '2024-06-24', '12:43:00', 'Ryanair', '12 hours', 391)
('6677f97d7acf35542d8eeeec', 'GGT', 'QUO', 100, '2024-06-30', '12:07:00', 'Lufthansa', '10 hours', 196)
('6677f97d7acf35542d8eeeed', 'GGT', 'TGD', 100, '2024-06-29', '00:59:00', 'Ryanair', '5 hours', 308)
('6677f97d7acf35542d8eeeee', 'GGT', 'VVO', 100, '2024-06-30', '06:44:00', 'EasyJet', '1 hours', 196)
('6677f97d7acf35542d8eeeef', 'GGT', 'CRA', 100, '2024-06-26', '14:45:00', 'EasyJet', '7 hours', 412)
('6677f97d7acf35542d8eeef1', 'RUH', 'IND', 100, '2024-07-01', '09:49:00', 'EasyJet', '13 hours', 69)
('6677f97d7acf35542d8eeef2', 'RUH', 'MZO', 100, '2024-06-25', '14:53:00', 'British Airways', '13 hours', 61)
('6677f97d7acf35542d8eeef3', 'RUH', 'SKP', 100, '2024-07-01', '23:20:00', 'Ryanair', '10 hours', 78)
('6677f97d7acf35542d8eeef4', 'RUH', 'UIO', 100, '2024-07-01', '11:26:00', 'British Airways', '4 hours', 390)
('6677f97d7acf35542d8eeef6', 'USM', 'HAJ', 100, '2024-06-25', '20:56:00', 'Ryanair', '13 hours', 218)
('6677f97d7acf35542d8eeefb', 'SZX', 'SJJ', 100, '2024-06-30', '10:24:00', 'Ryanair', '8 hours', 446)
('6677f97d7acf35542d8eeefc', 'SZX', 'CTA', 100, '2024-06-28', '08:01:00', 'British Airways', '7 hours', 139)
('6677f97d7acf35542d8eef00', 'KOE', 'LIG', 100, '2024-06-25', '06:12:00', 'EasyJet', '8 hours', 483)
('6677f97d7acf35542d8eef01', 'KOE', 'CTA', 100, '2024-07-02', '22:30:00', 'Lufthansa', '11 hours', 283)
('6677f97d7acf35542d8eef02', 'KOE', 'CRL', 100, '2024-07-02', '22:03:00', 'Lufthansa', '8 hours', 400)
('6677f97d7acf35542d8eef03', 'KOE', 'KVO', 100, '2024-07-03', '09:52:00', 'Ryanair', '2 hours', 321)
('6677f97d7acf35542d8eef05', 'KAI', 'LVI', 100, '2024-06-29', '11:08:00', 'EasyJet', '9 hours', 439)
('6677f97d7acf35542d8eef06', 'KAI', 'NAG', 100, '2024-07-03', '06:06:00', 'Ryanair', '10 hours', 486)
('6677f97d7acf35542d8eef07', 'KAI', 'CHC', 100, '2024-06-26', '21:17:00', 'Ryanair', '3 hours', 238)
('6677f97e7acf35542d8eef0a', 'BCU', 'LLW', 100, '2024-06-28', '00:05:00', 'Lufthansa', '10 hours', 287)
('6677f97e7acf35542d8eef0b', 'BCU', 'ABD', 100, '2024-06-27', '14:55:00', 'Ryanair', '13 hours', 107)
('6677f97e7acf35542d8eef0c', 'BCU', 'LAX', 100, '2024-06-26', '13:05:00', 'Air France', '1 hours', 183)
('6677f97e7acf35542d8eef0d', 'BCU', 'YNJ', 100, '2024-06-24', '22:37:00', 'Air France', '6 hours', 429)
('6677f97e7acf35542d8eef0f', 'ETZ', 'BUS', 100, '2024-06-24', '19:51:00', 'Air France', '5 hours', 476)
('6677f97e7acf35542d8eef10', 'ETZ', 'LIH', 100, '2024-06-27', '16:19:00', 'Air France', '10 hours', 202)
('6677f97e7acf35542d8eef11', 'ETZ', 'TGM', 100, '2024-07-02', '21:12:00', 'British Airways', '3 hours', 247)
('6677f97e7acf35542d8eef12', 'ETZ', 'ETR', 100, '2024-06-30', '10:51:00', 'British Airways', '14 hours', 278)
('6677f97e7acf35542d8eef14', 'DTB', 'EDL', 100, '2024-06-24', '21:59:00', 'EasyJet', '5 hours', 232)
('6677f97e7acf35542d8eef15', 'DTB', 'KHN', 100, '2024-06-29', '05:10:00', 'Air France', '4 hours', 486)
('6677f97e7acf35542d8eef16', 'DTB', 'BOH', 100, '2024-06-26', '15:35:00', 'Ryanair', '12 hours', 162)
('6677f97e7acf35542d8eef17', 'DTB', 'ATQ', 100, '2024-06-26', '18:09:00', 'Air France', '12 hours', 378)
('6677f97e7acf35542d8eef19', 'NOU', 'CCC', 100, '2024-06-24', '17:04:00', 'Lufthansa', '1 hours', 471)
('6677f97e7acf35542d8eef1a', 'NOU', 'LOS', 100, '2024-07-03', '20:01:00', 'Ryanair', '11 hours', 395)
('6677f97e7acf35542d8eef1b', 'NOU', 'GNB', 100, '2024-06-24', '03:41:00', 'Lufthansa', '1 hours', 106)
('6677f97e7acf35542d8eef1e', 'MUN', 'MSQ', 100, '2024-06-25', '00:06:00', 'Air France', '3 hours', 46)
('6677f97e7acf35542d8eef23', 'CEI', 'BEG', 100, '2024-06-30', '20:45:00', 'Air France', '14 hours', 261)
('6677f97e7acf35542d8eef28', 'HBE', 'LTN', 100, '2024-06-25', '19:28:00', 'Air France', '14 hours', 124)
('6677f97e7acf35542d8eef2d', 'LWO', 'IKA', 100, '2024-07-02', '01:27:00', 'Lufthansa', '10 hours', 256)
('6677f97e7acf35542d8eef2e', 'LWO', 'LXA', 100, '2024-06-25', '20:59:00', 'Ryanair', '13 hours', 358)
('6677f97e7acf35542d8eef32', 'BQT', 'CEI', 100, '2024-06-24', '19:52:00', 'Lufthansa', '1 hours', 159)
('6677f97e7acf35542d8eef33', 'BQT', 'AHO', 100, '2024-06-24', '07:20:00', 'Air France', '1 hours', 88)
('6677f97e7acf35542d8eef34', 'BQT', 'CND', 100, '2024-06-24', '04:12:00', 'EasyJet', '8 hours', 262)
('6677f97e7acf35542d8eef35', 'BQT', 'GEM', 100, '2024-07-01', '09:22:00', 'British Airways', '7 hours', 397)
('6677f97f7acf35542d8eef37', 'DDG', 'BXU', 100, '2024-06-26', '14:13:00', 'British Airways', '7 hours', 139)
('6677f97f7acf35542d8eef38', 'DDG', 'AJA', 100, '2024-06-27', '01:40:00', 'Air France', '4 hours', 261)
('6677f97f7acf35542d8eef3c', 'AHU', 'REU', 100, '2024-06-28', '03:08:00', 'Ryanair', '4 hours', 354)
('6677f97f7acf35542d8eef3d', 'AHU', 'MAH', 100, '2024-07-02', '14:01:00', 'Ryanair', '2 hours', 289)
('6677f97f7acf35542d8eef3e', 'AHU', 'AHO', 100, '2024-06-27', '17:37:00', 'Lufthansa', '2 hours', 455)
('6677f97f7acf35542d8eef41', 'AAL', 'LPP', 100, '2024-07-02', '17:27:00', 'Ryanair', '9 hours', 89)
('6677f97f7acf35542d8eef42', 'AAL', 'MAH', 100, '2024-06-29', '08:51:00', 'Lufthansa', '8 hours', 465)
('6677f97f7acf35542d8eef43', 'AAL', 'SNU', 100, '2024-06-24', '18:27:00', 'British Airways', '9 hours', 123)
('6677f97f7acf35542d8eef44', 'AAL', 'RUH', 100, '2024-06-24', '22:44:00', 'EasyJet', '11 hours', 395)
('6677f97f7acf35542d8eef46', 'MGQ', 'SVQ', 100, '2024-06-28', '00:43:00', 'Air France', '14 hours', 148)
('6677f97f7acf35542d8eef47', 'MGQ', 'MRU', 100, '2024-07-01', '15:04:00', 'Ryanair', '8 hours', 394)
('6677f97f7acf35542d8eef4b', 'ETR', 'GRQ', 100, '2024-06-24', '12:47:00', 'British Airways', '4 hours', 350)
('6677f97f7acf35542d8eef4c', 'ETR', 'AZN', 100, '2024-06-29', '12:21:00', 'Lufthansa', '13 hours', 493)
('6677f97f7acf35542d8eef50', 'KUO', 'OMR', 100, '2024-07-03', '05:37:00', 'Lufthansa', '7 hours', 354)
('6677f97f7acf35542d8eef51', 'KUO', 'CFK', 100, '2024-07-02', '03:18:00', 'Air France', '4 hours', 355)
('6677f97f7acf35542d8eef52', 'KUO', 'RAR', 100, '2024-06-24', '19:47:00', 'EasyJet', '2 hours', 245)
('6677f97f7acf35542d8eef53', 'KUO', 'CMF', 100, '2024-06-26', '00:53:00', 'Air France', '11 hours', 93)
('6677f97f7acf35542d8eef55', 'POG', 'NKC', 100, '2024-06-24', '04:31:00', 'Air France', '13 hours', 322)
('6677f97f7acf35542d8eef5a', 'NJF', 'LIL', 100, '2024-06-26', '21:35:00', 'EasyJet', '12 hours', 379)
('6677f97f7acf35542d8eef5b', 'NJF', 'BQS', 100, '2024-06-27', '11:48:00', 'Ryanair', '7 hours', 266)
('6677f97f7acf35542d8eef5c', 'NJF', 'XIY', 100, '2024-06-25', '18:31:00', 'Ryanair', '8 hours', 127)
('6677f97f7acf35542d8eef5d', 'NJF', 'DTM', 100, '2024-07-01', '15:27:00', 'Air France', '14 hours', 305)
('6677f9807acf35542d8eef5f', 'SKP', 'POG', 100, '2024-06-29', '11:51:00', 'EasyJet', '1 hours', 102)
('6677f9807acf35542d8eef64', 'MBJ', 'BYH', 100, '2024-06-28', '01:35:00', 'Lufthansa', '4 hours', 448)
('6677f9807acf35542d8eef69', 'SNU', 'OLB', 100, '2024-06-25', '12:57:00', 'British Airways', '10 hours', 217)
('6677f9807acf35542d8eef6a', 'SNU', 'ADD', 100, '2024-07-02', '13:58:00', 'British Airways', '2 hours', 340)
('6677f9807acf35542d8eef6b', 'SNU', 'AAE', 100, '2024-06-30', '00:12:00', 'Ryanair', '8 hours', 90)
('6677f9807acf35542d8eef6c', 'SNU', 'OCF', 100, '2024-06-26', '14:14:00', 'British Airways', '7 hours', 123)
('6677f9807acf35542d8eef6e', 'SEZ', 'BEG', 100, '2024-06-28', '03:25:00', 'Lufthansa', '6 hours', 154)
('6677f9807acf35542d8eef73', 'TZL', 'MSQ', 100, '2024-07-03', '21:12:00', 'Air France', '7 hours', 128)
('6677f9807acf35542d8eef74', 'TZL', 'URG', 100, '2024-07-02', '07:59:00', 'Lufthansa', '9 hours', 177)
('6677f9807acf35542d8eef75', 'TZL', 'ATZ', 100, '2024-07-03', '15:29:00', 'Air France', '13 hours', 248)
('6677f9807acf35542d8eef78', 'ILR', 'TLL', 100, '2024-06-26', '22:19:00', 'Lufthansa', '14 hours', 84)
('6677f9807acf35542d8eef79', 'ILR', 'NTE', 100, '2024-06-27', '19:00:00', 'British Airways', '10 hours', 222)
('6677f9807acf35542d8eef7d', 'STY', 'BLR', 100, '2024-06-26', '00:00:00', 'Air France', '14 hours', 420)
('6677f9807acf35542d8eef7e', 'STY', 'CCC', 100, '2024-06-24', '06:16:00', 'Air France', '2 hours', 104)
('6677f9807acf35542d8eef7f', 'STY', 'NKC', 100, '2024-06-29', '09:39:00', 'British Airways', '6 hours', 410)
('6677f9807acf35542d8eef80', 'STY', 'TRF', 100, '2024-07-01', '04:15:00', 'EasyJet', '12 hours', 455)
('6677f9807acf35542d8eef82', 'IST', 'XCH', 100, '2024-06-24', '05:03:00', 'EasyJet', '14 hours', 341)
('6677f9807acf35542d8eef83', 'IST', 'LXR', 100, '2024-07-03', '10:11:00', 'British Airways', '4 hours', 225)
('6677f9807acf35542d8eef84', 'IST', 'SUV', 100, '2024-06-28', '16:16:00', 'Air France', '11 hours', 429)
('6677f9807acf35542d8eef85', 'IST', 'PUY', 100, '2024-07-02', '11:31:00', 'Ryanair', '2 hours', 223)
('6677f9807acf35542d8eef87', 'KER', 'SPC', 100, '2024-06-26', '17:59:00', 'Lufthansa', '9 hours', 308)
('6677f9807acf35542d8eef88', 'KER', 'RJK', 100, '2024-06-24', '00:16:00', 'British Airways', '10 hours', 316)
('6677f9807acf35542d8eef89', 'KER', 'DMK', 100, '2024-06-30', '08:33:00', 'Ryanair', '11 hours', 478)
('6677f9807acf35542d8eef8a', 'KER', 'TRS', 100, '2024-06-24', '19:06:00', 'British Airways', '5 hours', 400)
('6677f9807acf35542d8eef8c', 'RHO', 'CUF', 100, '2024-06-24', '06:30:00', 'Lufthansa', '5 hours', 63)
('6677f9807acf35542d8eef8d', 'RHO', 'GDN', 100, '2024-06-27', '23:06:00', 'EasyJet', '11 hours', 138)
('6677f9807acf35542d8eef8e', 'RHO', 'MKQ', 100, '2024-06-28', '21:07:00', 'Ryanair', '8 hours', 271)
('6677f9817acf35542d8eef91', 'SKG', 'INC', 100, '2024-06-29', '10:03:00', 'EasyJet', '12 hours', 156)
('6677f9817acf35542d8eef92', 'SKG', 'ANR', 100, '2024-06-29', '10:12:00', 'Air France', '12 hours', 322)
('6677f9817acf35542d8eef93', 'SKG', 'LCG', 100, '2024-06-26', '22:37:00', 'Lufthansa', '10 hours', 188)
('6677f9817acf35542d8eef94', 'SKG', 'CAI', 100, '2024-06-24', '05:42:00', 'EasyJet', '1 hours', 380)
('6677f9817acf35542d8eef96', 'YUL', 'BOG', 100, '2024-06-25', '08:31:00', 'Lufthansa', '1 hours', 242)
('6677f9817acf35542d8eef97', 'YUL', 'VGO', 100, '2024-06-25', '03:26:00', 'British Airways', '1 hours', 495)
('6677f9817acf35542d8eef98', 'YUL', 'COK', 100, '2024-06-25', '11:16:00', 'Lufthansa', '10 hours', 321)
('6677f9817acf35542d8eef99', 'YUL', 'NDR', 100, '2024-06-26', '03:53:00', 'British Airways', '13 hours', 438)
('6677f9817acf35542d8eef9b', 'LET', 'CBR', 100, '2024-06-26', '22:52:00', 'Lufthansa', '2 hours', 399)
('6677f9817acf35542d8eef9c', 'LET', 'WAW', 100, '2024-07-03', '17:20:00', 'British Airways', '14 hours', 134)
('6677f9817acf35542d8eef9d', 'LET', 'YWG', 100, '2024-06-24', '17:59:00', 'Lufthansa', '11 hours', 484)
('6677f9817acf35542d8eefa0', 'GLA', 'ANR', 100, '2024-06-29', '15:49:00', 'British Airways', '2 hours', 119)
('6677f9817acf35542d8eefa5', 'VAA', 'NUE', 100, '2024-07-02', '08:44:00', 'EasyJet', '11 hours', 405)
('6677f9817acf35542d8eefaa', 'LRU', 'TSR', 100, '2024-06-28', '08:30:00', 'Air France', '11 hours', 433)
('6677f9817acf35542d8eefab', 'LRU', 'KUO', 100, '2024-07-02', '07:06:00', 'Air France', '2 hours', 140)
('6677f9817acf35542d8eefaf', 'EBB', 'TRS', 100, '2024-06-29', '01:01:00', 'EasyJet', '12 hours', 302)
('6677f9817acf35542d8eefb4', 'OCF', 'TMP', 100, '2024-06-24', '08:24:00', 'Air France', '5 hours', 360)
('6677f9817acf35542d8eefb9', 'BYH', 'DMK', 100, '2024-06-30', '13:25:00', 'Lufthansa', '5 hours', 151)
('6677f9817acf35542d8eefba', 'BYH', 'CCC', 100, '2024-06-27', '06:16:00', 'Ryanair', '6 hours', 249)
('6677f9817acf35542d8eefbe', 'YVR', 'THR', 100, '2024-07-02', '15:33:00', 'Ryanair', '12 hours', 258)
('6677f9817acf35542d8eefbf', 'YVR', 'KGD', 100, '2024-06-27', '04:58:00', 'Ryanair', '13 hours', 104)
('6677f9817acf35542d8eefc3', 'EIN', 'KOE', 100, '2024-06-27', '03:45:00', 'Ryanair', '11 hours', 449)
('6677f9817acf35542d8eefc4', 'EIN', 'SAI', 100, '2024-06-24', '06:54:00', 'Lufthansa', '7 hours', 391)
('6677f9817acf35542d8eefc8', 'GRQ', 'LHE', 100, '2024-06-24', '08:02:00', 'Lufthansa', '4 hours', 442)
('6677f9817acf35542d8eefc9', 'GRQ', 'NYO', 100, '2024-06-27', '06:32:00', 'EasyJet', '6 hours', 389)
('6677f9817acf35542d8eefca', 'GRQ', 'QUO', 100, '2024-07-02', '01:53:00', 'Lufthansa', '7 hours', 55)
('6677f9817acf35542d8eefcb', 'GRQ', 'MIA', 100, '2024-06-27', '07:47:00', 'EasyJet', '11 hours', 302)
('6677f9827acf35542d8eefcd', 'RKE', 'DAD', 100, '2024-06-30', '00:49:00', 'Ryanair', '8 hours', 65)
('6677f9827acf35542d8eefce', 'RKE', 'RIY', 100, '2024-06-28', '12:49:00', 'British Airways', '5 hours', 454)
('6677f9827acf35542d8eefd2', 'CPH', 'ABD', 100, '2024-06-26', '11:44:00', 'Air France', '14 hours', 106)
('6677f9827acf35542d8eefd7', 'NAP', 'BRQ', 100, '2024-06-24', '00:59:00', 'Ryanair', '4 hours', 323)
('6677f9827acf35542d8eefdc', 'MAA', 'CUR', 100, '2024-06-24', '02:34:00', 'Ryanair', '8 hours', 268)
('6677f9827acf35542d8eefe1', 'JNB', 'MVD', 100, '2024-07-03', '09:00:00', 'British Airways', '1 hours', 207)
('6677f9827acf35542d8eefe2', 'JNB', 'LAQ', 100, '2024-07-01', '16:40:00', 'Lufthansa', '11 hours', 361)
('6677f9827acf35542d8eefe3', 'JNB', 'BIO', 100, '2024-07-03', '06:12:00', 'Lufthansa', '9 hours', 94)
('6677f9827acf35542d8eefe4', 'JNB', 'GBT', 100, '2024-06-27', '05:57:00', 'Ryanair', '4 hours', 401)
('6677f9827acf35542d8eefe6', 'LNZ', 'BRQ', 100, '2024-06-30', '17:06:00', 'Air France', '10 hours', 491)
('6677f9827acf35542d8eefe7', 'LNZ', 'TIQ', 100, '2024-06-30', '00:43:00', 'Air France', '11 hours', 78)
('6677f9827acf35542d8eefe8', 'LNZ', 'VFA', 100, '2024-06-27', '15:28:00', 'Air France', '8 hours', 49)
('6677f9827acf35542d8eefe9', 'LNZ', 'PSS', 100, '2024-06-27', '19:20:00', 'British Airways', '1 hours', 216)
('6677f9827acf35542d8eefeb', 'KLU', 'MIA', 100, '2024-06-27', '05:17:00', 'Lufthansa', '11 hours', 66)
('6677f9837acf35542d8eeff0', 'OVD', 'EIN', 100, '2024-06-24', '05:05:00', 'Air France', '2 hours', 157)
('6677f9837acf35542d8eeff1', 'OVD', 'SLZ', 100, '2024-06-28', '01:47:00', 'Lufthansa', '9 hours', 365)
('6677f9837acf35542d8eeff5', 'PNH', 'NOC', 100, '2024-06-27', '15:44:00', 'Ryanair', '14 hours', 441)
('6677f9837acf35542d8eeff6', 'PNH', 'CAP', 100, '2024-07-02', '00:11:00', 'Ryanair', '7 hours', 396)
('6677f9837acf35542d8eeff7', 'PNH', 'TXC', 100, '2024-07-01', '19:09:00', 'Ryanair', '5 hours', 244)
('6677f9837acf35542d8eeffa', 'HAN', 'KRK', 100, '2024-07-03', '19:12:00', 'Ryanair', '10 hours', 237)
('6677f9837acf35542d8eeffb', 'HAN', 'JFK', 100, '2024-07-02', '01:54:00', 'EasyJet', '14 hours', 68)
('6677f9837acf35542d8eefff', 'BOY', 'MDG', 100, '2024-06-29', '02:10:00', 'Ryanair', '11 hours', 461)
('6677f9837acf35542d8ef000', 'BOY', 'NQZ', 100, '2024-06-30', '14:23:00', 'British Airways', '1 hours', 137)
('6677f9837acf35542d8ef001', 'BOY', 'INI', 100, '2024-07-01', '05:37:00', 'Ryanair', '8 hours', 45)
('6677f9837acf35542d8ef004', 'CGQ', 'HAJ', 100, '2024-07-03', '06:48:00', 'Air France', '8 hours', 90)
('6677f9837acf35542d8ef005', 'CGQ', 'LYS', 100, '2024-07-03', '00:13:00', 'Air France', '11 hours', 495)
('6677f9837acf35542d8ef009', 'TLN', 'RTM', 100, '2024-07-03', '03:26:00', 'Lufthansa', '4 hours', 448)
('6677f9837acf35542d8ef00a', 'TLN', 'SAL', 100, '2024-06-25', '15:42:00', 'EasyJet', '2 hours', 192)
('6677f9837acf35542d8ef00b', 'TLN', 'ZTR', 100, '2024-06-29', '08:21:00', 'British Airways', '12 hours', 84)
('6677f9837acf35542d8ef00e', 'BIA', 'NAG', 100, '2024-06-24', '21:40:00', 'EasyJet', '3 hours', 171)
('6677f9837acf35542d8ef013', 'SVX', 'NYO', 100, '2024-07-01', '02:58:00', 'EasyJet', '4 hours', 245)
('6677f9837acf35542d8ef018', 'SXB', 'FAR', 100, '2024-06-26', '23:09:00', 'EasyJet', '9 hours', 233)
('6677f9837acf35542d8ef019', 'SXB', 'SLL', 100, '2024-06-28', '22:37:00', 'Ryanair', '11 hours', 171)
('6677f9837acf35542d8ef01a', 'SXB', 'BGY', 100, '2024-07-01', '20:56:00', 'EasyJet', '7 hours', 192)
('6677f9837acf35542d8ef01b', 'SXB', 'HKT', 100, '2024-06-27', '08:09:00', 'Lufthansa', '3 hours', 142)
('6677f9837acf35542d8ef01d', 'LIG', 'NAN', 100, '2024-06-27', '21:45:00', 'EasyJet', '13 hours', 462)
('6677f9837acf35542d8ef01e', 'LIG', 'LAS', 100, '2024-06-28', '14:38:00', 'British Airways', '5 hours', 397)
('6677f9837acf35542d8ef022', 'KRR', 'TSN', 100, '2024-07-03', '11:36:00', 'Air France', '9 hours', 192)
('6677f9837acf35542d8ef023', 'KRR', 'DAR', 100, '2024-06-26', '01:53:00', 'Lufthansa', '7 hours', 380)
('6677f9847acf35542d8ef027', 'AHO', 'HET', 100, '2024-06-27', '21:23:00', 'Lufthansa', '9 hours', 361)
('6677f9847acf35542d8ef02c', 'CAG', 'ADB', 100, '2024-07-03', '13:48:00', 'Lufthansa', '12 hours', 238)
('6677f9847acf35542d8ef02d', 'CAG', 'STD', 100, '2024-06-26', '06:16:00', 'EasyJet', '2 hours', 283)
('6677f9847acf35542d8ef031', 'BGI', 'MKQ', 100, '2024-06-25', '07:02:00', 'British Airways', '13 hours', 476)
('6677f9847acf35542d8ef032', 'BGI', 'SLC', 100, '2024-07-01', '06:38:00', 'Air France', '11 hours', 40)
('6677f9847acf35542d8ef036', 'GDN', 'MMK', 100, '2024-06-25', '13:49:00', 'Lufthansa', '1 hours', 99)
('6677f9847acf35542d8ef037', 'GDN', 'LBD', 100, '2024-06-27', '01:27:00', 'EasyJet', '6 hours', 492)
('6677f9847acf35542d8ef038', 'GDN', 'CPH', 100, '2024-06-29', '14:39:00', 'EasyJet', '1 hours', 274)
('6677f9847acf35542d8ef039', 'GDN', 'MKQ', 100, '2024-06-26', '01:38:00', 'Air France', '10 hours', 202)
('6677f9847acf35542d8ef03b', 'ABZ', 'OMH', 100, '2024-06-29', '16:08:00', 'Ryanair', '2 hours', 319)
('6677f9847acf35542d8ef03c', 'ABZ', 'RUH', 100, '2024-06-27', '21:55:00', 'EasyJet', '4 hours', 491)
('6677f9847acf35542d8ef03d', 'ABZ', 'JSI', 100, '2024-06-30', '10:54:00', 'Ryanair', '10 hours', 384)
('6677f9847acf35542d8ef040', 'KLV', 'SCN', 100, '2024-07-01', '05:44:00', 'Air France', '6 hours', 455)
('6677f9847acf35542d8ef045', 'GCM', 'IND', 100, '2024-06-30', '19:43:00', 'British Airways', '8 hours', 378)
('6677f9847acf35542d8ef046', 'GCM', 'SLL', 100, '2024-06-28', '07:24:00', 'British Airways', '7 hours', 281)
('6677f9847acf35542d8ef047', 'GCM', 'GSV', 100, '2024-06-29', '20:19:00', 'Lufthansa', '2 hours', 51)
('6677f9847acf35542d8ef048', 'GCM', 'LRU', 100, '2024-06-24', '15:25:00', 'Lufthansa', '9 hours', 331)
('6677f9847acf35542d8ef04a', 'SYZ', 'SRE', 100, '2024-06-26', '19:12:00', 'Ryanair', '13 hours', 452)
('6677f9847acf35542d8ef04b', 'SYZ', 'HRG', 100, '2024-06-24', '17:12:00', 'Lufthansa', '9 hours', 207)
('6677f9847acf35542d8ef04c', 'SYZ', 'STI', 100, '2024-06-26', '09:05:00', 'Ryanair', '8 hours', 456)
